Datetime,US100,DXY
2026-01-02 14:00:00,25298.0,98.39299774169922
2026-01-02 16:00:00,25192.626953125,98.3239974975586
2026-01-02 16:00:00,25198.7265625,98.3239974975586
2026-01-02 18:00:00,25148.025390625,98.46499633789062
2026-01-02 18:00:00,25220.990234375,98.46499633789062
2026-01-02 20:00:00,25247.658203125,98.4530029296875
2026-01-02 20:00:00,25204.828125,98.4530029296875
2026-01-05 14:00:00,25489.83203125,98.63200378417969
2026-01-05 16:00:00,25500.966796875,98.36299896240234
2026-01-05 16:00:00,25443.63671875,98.36299896240234
2026-01-05 18:00:00,25418.12109375,98.28399658203125
2026-01-05 18:00:00,25403.013671875,98.28399658203125
2026-01-05 20:00:00,25414.43359375,98.29100036621094
2026-01-05 20:00:00,25402.388671875,98.29100036621094
2026-01-06 14:00:00,25585.869140625,98.4020004272461
2026-01-06 16:00:00,25497.5078125,98.59700012207031
2026-01-06 16:00:00,25549.8984375,98.59700012207031
2026-01-06 18:00:00,25577.03125,98.58499908447266
2026-01-06 18:00:00,25623.53515625,98.58499908447266
2026-01-06 20:00:00,25624.552734375,98.58300018310547
2026-01-06 20:00:00,25644.853515625,98.58300018310547
2026-01-07 14:00:00,25685.46484375,98.52300262451172
2026-01-07 16:00:00,25711.2265625,98.63099670410156
2026-01-07 16:00:00,25802.24609375,98.63099670410156
2026-01-07 18:00:00,25752.251953125,98.6709976196289
2026-01-07 18:00:00,25721.138671875,98.6709976196289
2026-01-07 20:00:00,25679.673828125,98.71099853515625
2026-01-07 20:00:00,25654.546875,98.71099853515625
2026-01-08 14:00:00,25525.451171875,98.84600067138672
2026-01-08 16:00:00,25450.939453125,98.90299987792969
2026-01-08 16:00:00,25462.501953125,98.90299987792969
2026-01-08 18:00:00,25484.708984375,98.96600341796875
2026-01-08 18:00:00,25452.2578125,98.96600341796875
2026-01-08 20:00:00,25497.23828125,98.91899871826172
2026-01-08 20:00:00,25507.515625,98.91899871826172
2026-01-09 14:00:00,25679.044921875,99.11199951171875
2026-01-09 16:00:00,25690.533203125,99.14600372314453
2026-01-09 16:00:00,25739.05859375,99.14600372314453
2026-01-09 18:00:00,25735.951171875,99.14099884033203
2026-01-09 18:00:00,25786.69921875,99.14099884033203
2026-01-09 20:00:00,25794.8984375,99.13600158691406
2026-01-09 20:00:00,25762.583984375,99.13600158691406
2026-01-12 14:00:00,25755.828125,98.8239974975586
2026-01-12 16:00:00,25771.1328125,98.87699890136719
2026-01-12 16:00:00,25794.7734375,98.87699890136719
2026-01-12 18:00:00,25823.8125,98.88999938964844
2026-01-12 18:00:00,25829.595703125,98.88999938964844
2026-01-12 20:00:00,25824.154296875,98.91400146484375
2026-01-12 20:00:00,25786.953125,98.91400146484375
2026-01-13 14:00:00,25677.962890625,98.99199676513672
2026-01-13 16:00:00,25741.0625,99.14199829101562
2026-01-13 16:00:00,25801.779296875,99.14199829101562
2026-01-13 18:00:00,25713.318359375,99.0989990234375
2026-01-13 18:00:00,25701.306640625,99.0989990234375
2026-01-13 20:00:00,25664.470703125,99.1510009765625
2026-01-13 20:00:00,25743.798828125,99.1510009765625
2026-01-14 14:00:00,25452.2578125,98.97599792480469
2026-01-14 16:00:00,25417.033203125,98.98500061035156
2026-01-14 16:00:00,25332.734375,98.98500061035156
2026-01-14 18:00:00,25336.712890625,99.12200164794922
2026-01-14 18:00:00,25351.544921875,99.12200164794922
2026-01-14 20:00:00,25398.712890625,99.11199951171875
2026-01-14 20:00:00,25469.87109375,99.11199951171875
2026-01-15 14:00:00,25696.89453125,99.4280014038086
2026-01-15 16:00:00,25740.958984375,99.36599731445312
2026-01-15 16:00:00,25718.390625,99.36599731445312
2026-01-15 18:00:00,25735.298828125,99.3030014038086
2026-01-15 18:00:00,25638.095703125,99.3030014038086
2026-01-15 20:00:00,25556.083984375,99.38999938964844
2026-01-15 20:00:00,25545.123046875,99.38999938964844
2026-01-16 14:00:00,25517.6328125,99.23400115966797
2026-01-16 16:00:00,25561.06640625,99.375
2026-01-16 16:00:00,25548.14453125,99.375
2026-01-16 18:00:00,25563.009765625,99.40499877929688
2026-01-16 18:00:00,25528.57421875,99.40499877929688
2026-01-16 20:00:00,25557.4140625,99.37100219726562
2026-01-16 20:00:00,25527.27734375,99.37100219726562
