datetime,open,high,low,close,volume
2026-03-16 09:30:00,600.039978,602.59998,599.22998,601.47998,45005319
2026-03-16 10:30:00,601.48999,601.94501,599.13,601.46997,74307204
2026-03-16 11:30:00,601.45001,601.98999,599.15997,599.47998,71863752
2026-03-16 12:30:00,599.46002,601.64001,599.12,600.98999,59457700
2026-03-16 13:30:00,601.01001,601.71997,599.92999,601.54999,92783096
2026-03-16 14:30:00,601.53998,603.85498,600.070007,600.65997,67164511
2026-03-16 15:30:00,600.67999,600.89001,599.53003,600.31,41773383
2026-03-17 09:30:00,603.14001,605.89001,602.28998,604.62,42117948
2026-03-17 10:30:00,604.63,605.32001,603.35999,603.38,68554057
2026-03-17 11:30:00,603.39001,603.91998,601.87,603.41998,73570784
2026-03-17 12:30:00,603.42999,604.044983,602.87,603.57001,51622533
2026-03-17 13:30:00,603.53003,604.53003,603.054993,603.21002,43312544
2026-03-17 14:30:00,603.20001,603.71002,602.685,603.31,33574743
2026-03-17 15:30:00,603.32001,603.76001,603.02002,603.38,39063188
2026-03-18 09:30:00,601.5,603.15002,598.71002,598.96997,26819420
2026-03-18 10:30:00,598.95001,601.54999,598.84003,600.53003,120057103
2026-03-18 11:30:00,600.53003,601.20001,599.99011,600.5,82843106
2026-03-18 12:30:00,600.46997,600.66998,598.29999,599.15009,115593658
2026-03-18 13:30:00,599.16998,601.15997,598.69,599.72998,144263874
2026-03-18 14:30:00,599.71997,599.91998,596.21997,596.52002,101622362
2026-03-18 15:30:00,596.51001,597.0050049,594.56,594.76001,4453407
2026-03-19 09:30:00,589.52502,592.37,587.080017,589.53003,81960776
2026-03-19 10:30:00,589.53003,593.13,589.42499,590.37,143378276
2026-03-19 11:30:00,590.35999,591.79999,588.79999,590.56,175151987
2026-03-19 12:30:00,590.57001,591.33002,588.37,590.049988,43252455
2026-03-19 13:30:00,590.039978,591.76001,589.14001,590.54089,116108978
2026-03-19 14:30:00,590.53998,595.79999,589.33002,593.53998,271620230
2026-03-19 15:30:00,593.52942,593.953,592.28998,592.97998,34903696
2026-03-20 09:30:00,591.070007,591.15002,585.23499,585.94501,19338585
2026-03-20 10:30:00,585.96997,587.63,584.96997,585.75,15732164
2026-03-20 11:30:00,585.78998,587.92999,585.53998,586.73999,6503186
2026-03-20 12:30:00,586.75,586.75,584.83002,585.039978,6956974
2026-03-20 13:30:00,585.049988,585.21503,582.10999,582.87,8968571
2026-03-20 14:30:00,582.85999,583.054993,580.46997,580.70001,11195238
2026-03-20 15:30:00,580.70001,582.10999,578.53998,582.070007,15676104
2026-03-23 09:30:00,590.46997,595.079895,589.030029,593.86499,39922553
2026-03-23 10:30:00,593.85999,595.080017,592.46002,593.21997,10027447
2026-03-23 11:30:00,593.23999,593.70001,585.96002,586.20001,16005136
2026-03-23 12:30:00,586.21002,588.78998,586.059998,587.15002,11157605
2026-03-23 13:30:00,587.14001,590.34003,587.125,589.33002,7728685
2026-03-23 14:30:00,589.44,591.51001,589.44,589.98999,6908155
2026-03-23 15:30:00,589.97498,590.94501,588.16998,588.16998,6843970
2026-03-24 09:30:00,584.82001,586.28003,581.94,583.63,13473489
2026-03-24 10:30:00,583.62,587.92999,583.10999,586.86737,9401807
2026-03-24 11:30:00,586.85999,587.73999,585.090027,586.63,5292589
2026-03-24 12:30:00,586.63,586.78998,582.70001,583.51001,5730219
2026-03-24 13:30:00,583.46997,585.29999,582.59003,584.94952,6593341
2026-03-24 14:30:00,584.94,587.038025,584.65002,585.090027,5402522
2026-03-24 15:30:00,585.080017,585.44,583.25,583.92999,4664778
2026-03-25 09:30:00,589.10999,591.37,586.70001,590.25,17817402
2026-03-25 10:30:00,590.27002,591.20001,585.69,588.98999,34340727
2026-03-25 11:30:00,589.0,589.42999,586.71002,588.67999,40416051
2026-03-25 12:30:00,588.65002,589.56,587.84998,589.094971,4925589
2026-03-25 13:30:00,589.099976,590.57001,588.42999,588.67999,5617726
2026-03-25 14:30:00,588.685,588.90002,586.26501,587.25098,55446162
2026-03-25 15:30:00,587.25989,588.12,586.58002,587.72998,3848398
2026-03-26 09:30:00,582.59998,584.60999,580.46002,582.96997,17675285
2026-03-26 10:30:00,582.96002,584.26251,579.65002,580.88,12785788
2026-03-26 11:30:00,580.87,581.90002,578.90002,579.039978,7641013
2026-03-26 12:30:00,579.059998,579.28998,577.27502,577.80499,7796002
2026-03-26 13:30:00,577.77002,578.22998,575.16998,575.23499,8111746
2026-03-26 14:30:00,575.23499,576.25989,574.60999,575.099976,9570422
2026-03-26 15:30:00,575.10999,575.19,573.43103,573.71002,11012333
2026-03-27 09:30:00,570.81,571.02002,566.15002,566.53003,20783142
2026-03-27 10:30:00,566.52002,568.68988,565.65997,568.45001,11009565
2026-03-27 11:30:00,568.46002,569.71002,566.46997,566.67499,10319001
2026-03-27 12:30:00,566.66998,567.76001,564.15002,564.19,7950738
2026-03-27 13:30:00,564.16101,564.91498,562.91998,563.755,9180553
2026-03-27 14:30:00,563.72998,564.56,562.51501,563.02002,8747273
2026-03-27 15:30:00,563.039978,563.47498,561.57001,562.5,10060825
2026-03-30 09:30:00,567.34497,568.039978,562.10999,562.92499,16983556
2026-03-30 10:30:00,562.88,565.53998,561.37,563.0,10089858
