datetime,open,high,low,close
2026-01-01 00:00:00,4312.47291,4347.39286,4309.41584,4347.39286
2026-01-01 01:00:00,4347.41556,4352.58769,4333.45416,4348.98177
2026-01-01 02:00:00,4349.73931,4349.73931,4328.88434,4336.93622
2026-01-01 03:00:00,4336.79504,4339.0415,4318.4557,4322.70451
2026-01-01 04:00:00,4322.75275,4330.70156,4318.71368,4322.12153
2026-01-01 05:00:00,4322.33735,4332.29979,4315.50156,4319.23863
2026-01-01 06:00:00,4318.87738,4322.18906,4309.62961,4311.26879
2026-01-01 07:00:00,4311.23326,4326.44321,4304.69385,4313.11269
2026-01-01 08:00:00,4313.11986,4317.79681,4305.23351,4316.55249
2026-01-01 09:00:00,4316.65289,4316.65289,4314.53295,4315.12599
2026-01-01 10:00:00,4315.08957,4315.27745,4315.03099,4315.11299
2026-01-01 11:00:00,4315.09344,4315.28306,4315.03145,4315.09275
2026-01-01 12:00:00,4315.08957,4315.28125,4315.03145,4315.08262
2026-01-01 13:00:00,4315.09333,4315.28305,4315.02976,4315.06753
2026-01-01 14:00:00,4315.08957,4315.28021,4315.031,4315.06024
2026-01-01 15:00:00,4315.08957,4315.28304,4315.03297,4315.061
2026-01-01 16:00:00,4315.09358,4315.28306,4314.93394,4315.06245
2026-01-01 17:00:00,4315.09363,4315.28129,4315.031,4315.06831
2026-01-01 18:00:00,4315.09366,4315.28307,4315.031,4315.07818
2026-01-01 19:00:00,4315.09366,4315.28213,4315.03294,4315.08796
2026-01-01 20:00:00,4315.08957,4315.28303,4315.03149,4315.10696
2026-01-01 21:00:00,4315.09358,4315.28307,4315.03148,4315.12049
2026-01-01 22:00:00,4315.09001,4315.28202,4315.03149,4315.1375
2026-01-01 23:00:00,4315.08957,4315.28307,4315.031,4315.15683
2026-01-02 00:00:00,4315.09333,4315.28115,4315.031,4315.17061
2026-01-02 01:00:00,4315.09324,4315.28308,4315.03147,4315.1777
2026-01-02 02:00:00,4315.08957,4315.28031,4315.031,4315.18436
2026-01-02 03:00:00,4315.08957,4315.28302,4315.03485,4315.19038
2026-01-02 04:00:00,4315.0939,4316.6264,4315.01651,4315.18824
2026-01-02 05:00:00,4315.09294,4315.28133,4314.86277,4315.17975
2026-01-02 06:00:00,4315.0918,4315.28308,4314.871,4315.16528
2026-01-02 07:00:00,4315.0866,4315.28034,4314.56809,4315.15768
2026-01-02 08:00:00,4315.09363,4315.48234,4315.031,4315.14181
2026-01-02 09:00:00,4315.12258,4315.75217,4314.67897,4315.13065
2026-01-02 10:00:00,4312.99577,4351.67314,4312.99577,4349.52173
2026-01-02 11:00:00,4349.63592,4356.74258,4341.36529,4353.95669
2026-01-02 12:00:00,4353.90036,4354.2516,4343.62947,4348.41604
2026-01-02 13:00:00,4348.43672,4364.78061,4343.58206,4361.88873
2026-01-02 14:00:00,4361.77382,4376.202,4361.77382,4374.80965
2026-01-02 15:00:00,4374.92737,4378.99125,4371.0976,4372.2274
2026-01-02 16:00:00,4372.2191,4380.96509,4371.12142,4379.44469
2026-01-02 17:00:00,4379.44864,4379.80935,4373.12642,4374.76717
2026-01-02 18:00:00,4374.77822,4383.51979,4371.50261,4383.11653
2026-01-02 19:00:00,4383.16958,4396.76611,4380.91719,4388.68723
2026-01-02 20:00:00,4388.85587,4391.69616,4383.54142,4386.12457
2026-01-02 21:00:00,4385.87744,4399.5895,4384.58558,4397.00921
2026-01-02 22:00:00,4397.0711,4399.03294,4389.32886,4392.52596
2026-01-02 23:00:00,4392.44851,4397.76293,4385.02149,4394.18162
2026-01-03 00:00:00,4394.1596,4402.87822,4362.75714,4364.23909
2026-01-03 01:00:00,4364.72273,4372.2789,4349.42014,4353.87717
2026-01-03 02:00:00,4354.15443,4354.15443,4330.45069,4336.03755
2026-01-03 03:00:00,4335.97865,4336.02904,4314.73057,4325.12614
2026-01-03 04:00:00,4324.78342,4333.83458,4323.28702,4323.9484
2026-01-03 05:00:00,4324.04233,4324.04233,4310.36817,4315.0834
2026-01-03 06:00:00,4315.03055,4325.98694,4315.03055,4319.3054
2026-01-03 07:00:00,4319.10312,4330.98735,4318.04062,4330.98735
2026-01-03 08:00:00,4330.94597,4334.91082,4315.21198,4325.64121
2026-01-03 09:00:00,4324.9389,4330.82748,4324.9389,4330.55085
