,open,high,low,close,volume
0,1.0802827031680438,1.0805643423079934,1.0801794352643843,1.0804518636112634,862143
1,1.080791022905262,1.0808355937975525,1.080554764199813,1.0808355937975525,872693
2,1.080929238651595,1.0811679755001065,1.0805387208845851,1.0808951728977336,267373
3,1.0802595514934181,1.080571058896705,1.0799680467079602,1.080571058896705,198908
4,1.0800173821520829,1.0802034167580525,1.0798964971562877,1.0799299029553195,434131
5,1.079434985736101,1.0798667179960066,1.079082829646787,1.0793578339526309,821751
6,1.0799037607684827,1.0805048614987516,1.079692267897191,1.0800142416208436,268952
7,1.0796385435078337,1.0798178618729348,1.0794847245593604,1.0796415868515596,492633
8,1.080103066811778,1.0803110111998748,1.0796094897448807,1.0803110111998748,477264
9,1.080100892744678,1.0804081911484553,1.079931904593047,1.0801048007796057,857535
10,1.080986026134715,1.081291689540402,1.0809386139336552,1.0809386139336552,308455
11,1.081268734476153,1.0814284244613928,1.0810303136885084,1.0810303136885084,917749
12,1.0813359979385118,1.0814061995353959,1.0811761923687915,1.0811761923687915,788084
13,1.081949223438942,1.0820160450142866,1.0819444667239975,1.0819838648151483,343781
14,1.0823307109814835,1.0825171442612767,1.0818389471524021,1.0818389471524021,113681
15,1.0828061013092767,1.0829413103982208,1.0827978851743008,1.0829413103982208,327534
16,1.0820036557420194,1.0822464209616003,1.0818633672475935,1.0822464209616003,241128
17,1.0814400372830466,1.0814897137969628,1.0811572326915133,1.0811572326915133,369182
18,1.0812449201047325,1.0813659093949899,1.0811408395114281,1.081285562147004,833768
19,1.0814859593539743,1.0816022733559232,1.0811172294075575,1.081522691132223,244845
20,1.0818243458831382,1.0820850299541018,1.0814435718787299,1.0817072353665966,789454
21,1.0815059896003043,1.0818201374442158,1.0813254218377344,1.0816465726770874,830734
22,1.0814517312089182,1.081650916154261,1.0812839313121383,1.081374761602879,353968
23,1.0809782442954867,1.0812326892814395,1.0807877222971534,1.0807948225981194,897491
24,1.081996503258856,1.0822347791051454,1.0816180595392757,1.081919558222864,836588
25,1.0816647510981183,1.0819547923164134,1.0814107393209997,1.0819547923164134,280984
